CODIGO;MUNICIPIO;POBLACIÓN
6302;CHÉPICA;15816
6303;CHIMBARONGO;37386
6304;LOLOL;7227
6305;NANCAGUA;18934
6306;PALMILLA;13169
6307;PERALILLO;11725
6308;PLACILLA;9093
6309;PUMANQUE;3531
6310;SANTA CRUZ;40574
7101;TALCA;234717
7102;CONSTITUCIÓN;50148
7103;CUREPTO;9477
7104;EMPEDRADO;4204
7105;MAULE;57447
7106;PELARCO;8979
7107;PENCAHUE;8571
7108;RÍO CLARO;14623
7109;SAN CLEMENTE;45755
7110;SAN RAFAEL;9825
7201;CAUQUENES;43962
7202;CHANCO;9327
7203;PELLUHUE;7983
7301;CURICÓ;161223
7302;HUALAÑÉ;10196
7303;LICANTÉN;6973
7304;MOLINA;49109
7305;RAUCO;11094
7306;ROMERAL;15946
7307;SAGRADA FAMILIA;19348
7308;TENO;30519
7309;VICHUQUÉN;4390
7401;LINARES;100077
7402;COLBÚN;22279
7403;LONGAVÍ;32516
7404;PARRAL;44172
7405;RETIRO;20913
7406;SAN JAVIER;48830
7407;VILLA ALEGRE;17339
7408;YERBAS BUENAS;19005
8101;CONCEPCIÓN;237257
8102;CORONEL;124753
8103;CHIGUAYANTE;90815
8104;FLORIDA;11813
8105;HUALQUI;25997
8106;LOTA;45791
8107;PENCO;49700
8108;SAN PEDRO DE LA PAZ;143458
8109;SANTA JUANA;14723
8110;TALCAHUANO;158203
8111;TOMÉ;58516
8112;HUALPÉN;96894
8201;LEBU;27042
8202;ARAUCO;38545
8203;CAÑETE;36822
8204;CONTULMO;6313
8205;CURANILAHUE;33826
8206;LOS ÁLAMOS;22374
8207;TIRÚA;10975
8301;LOS ÁNGELES;216695
8302;ANTUCO;4291
8303;CABRERO;30564
8304;LAJA;23823
8305;MULCHÉN;30973
8306;NACIMIENTO;27880
8307;NEGRETE;10372
8308;QUILACO;4177
8309;QUILLECO;10031
8310;SAN ROSENDO;3619
8311;SANTA BÁRBARA;14551
8312;TUCAPEL;15119
8313;YUMBEL;22072
8314;ALTO BIOBÍO;6760
9101;TEMUCO;300618
9102;CARAHUE;25444
9103;CUNCO;18030
9104;CURARREHUE;7767
9105;FREIRE;25391
9106;GALVARINO;12630
9107;GORBEA;15144
9108;LAUTARO;40376
9109;LONCOCHE;24684
9110;MELIPEUCO;6239
9111;NUEVA IMPERIAL;33614
9112;PADRE LAS CASAS;81101
9113;PERQUENCO;7197
9114;PITRUFQUÉN;25916
9115;PUCÓN;29469
9116;SAAVEDRA;12812
9117;TEODORO SCHMIDT;15771
9118;TOLTÉN;10075
9119;VILCÚN;30253
9120;VILLARRICA;58574
9121;CHOLCHOL;12237
9201;ANGOL;55761
9202;COLLIPULLI;25996
9203;CURACAUTÍN;18137
9204;ERCILLA;8468
9205;LONQUIMAY;11014
9206;LOS SAUCES;7516
9207;LUMACO;10076
9208;PURÉN;12192
9209;RENAICO;10764
9210;TRAIGUÉN;19306
9211;VICTORIA;35393
10101;PUERTO MONTT;265863
10102;CALBUCO;36442
10103;COCHAMÓ;4016
10104;FRESIA;12660
10105;FRUTILLAR;20034
10106;LOS MUERMOS;17786
10107;LLANQUIHUE;18525
10108;MAULLÍN;14917
10109;PUERTO VARAS;47845
10201;CASTRO;47214
10202;ANCUD;42379
10203;CHONCHI;15909
10204;CURACO DE VÉLEZ;4041
10205;DALCAHUE;14944
10206;PUQUELDÓN;4199
10207;QUEILÉN;5534
10208;QUELLÓN;29043
10209;QUEMCHI;8780
10210;QUINCHAO;8320
10301;OSORNO;172336
10302;PUERTO OCTAY;9216
10303;PURRANQUE;21081
10304;PUYEHUE;11760
10305;RÍO NEGRO;14303
10306;SAN JUAN DE LA COSTA;7690
10307;SAN PABLO;10547
10401;CHAITÉN;5001
10402;FUTALEUFÚ;2770
10403;HUALAIHUÉ;9487
10404;PALENA;1822
11101;COYHAIQUE;60822
11102;LAGO VERDE;919
11201;AYSÉN;24880
11202;CISNES;5801
11203;GUAITECAS;1591
11301;COCHRANE;3660
11302;O´HIGGINS;655
11303;TORTEL;567
11401;CHILE CHICO;5096
11402;RÍO IBÁÑEZ;2689
12101;PUNTA ARENAS;140132
12102;LAGUNA BLANCA;266
12103;RÍO VERDE;213
12104;SAN GREGORIO;686
12201;CABO DE HORNOS;1976
12301;PORVENIR;7190
12302;PRIMAVERA;696
12303;TIMAUKEL;283
12401;NATALES;23413
12402;TORRES DEL PAINE;998
13101;SANTIAGO;486838
13102;CERRILLOS;88016
13103;CERRO NAVIA;141402
13104;CONCHALÍ;137162
13105;EL BOSQUE;171487
13106;ESTACIÓN CENTRAL;186426
13107;HUECHURABA;109630
13108;INDEPENDENCIA;129691
13109;LA CISTERNA;98790
13110;LA FLORIDA;396781
13111;LA GRANJA;122454
13112;LA PINTANA;188748
13113;LA REINA;99033
13114;LAS CONDES;323309
13115;LO BARNECHEA;119240
13116;LO ESPEJO;103643
13117;LO PRADO;103111
13118;MACUL;130467
13119;MAIPÚ;566664
13120;ÑUÑOA;240753
13121;PEDRO AGUIRRE CERDA;107205
13122;PEÑALOLÉN;262268
13123;PROVIDENCIA;154446
13124;PUDAHUEL;248347
13125;QUILICURA;243112
13126;QUINTA NORMAL;130284
13127;RECOLETA;182088
13128;RENCA;158717
13129;SAN JOAQUÍN;102027
13130;SAN MIGUEL;126088
13131;SAN RAMÓN;86521
13132;VITACURA;94020
13201;PUENTE ALTO;629743
13202;PIRQUE;29616
13203;SAN JOSÉ DE MAIPO;18275
13301;COLINA;173119
13302;LAMPA;121528
13303;TILTIL;21066
13401;SAN BERNARDO;329121
13402;BUIN;106986
13403;CALERA DE TANGO;27913
13404;PAINE;80711
13501;MELIPILLA;138793
13502;ALHUÉ;7214
13503;CURACAVÍ;35720
13504;MARÍA PINTO;14708
13505;SAN PEDRO;11706
13601;TALAGANTE;80489
13602;EL MONTE;39296
13603;ISLA DE MAIPO;39433
13604;PADRE HURTADO;71852
13605;PEÑAFLOR;99142
14101;VALDIVIA;175117
14102;CORRAL;5444
14103;LANCO;17524
14104;LOS LAGOS;20488
14105;MÁFIL;7380
14106;MARIQUINA;23016
14107;PAILLACO;20725
14108;PANGUIPULLI;35870
14201;LA UNIÓN;39446
14202;FUTRONO;15255
14203;LAGO RANCO;10281
14204;RÍO BUENO;32867
15101;ARICA;242510
15102;CAMARONES;1228
15201;PUTRE;2493
15202;GENERAL LAGOS;805
16101;CHILLÁN;196853
16102;BULNES;22520
16103;CHILLÁN VIEJO;33291
16104;EL CARMEN;12348
16105;PEMUCO;8640
16106;PINTO;11781
16107;QUILLÓN;18604
16108;SAN IGNACIO;16598
16109;YUNGAY;18499
16201;QUIRIHUE;12155
16202;COBQUECURA;5281
16203;COELEMU;16800
16204;NINHUE;5421
16205;PORTEZUELO;4950
16206;RÁNQUIL;6238
16207;TREHUACO;5667
16301;SAN CARLOS;55935
16302;COIHUECO;28147
16303;ÑIQUÉN;11556
16304;SAN FABIÁN;4607
16305;SAN NICOLÁS;12068
